;ELE;epoch;SVS
7393;50.182;20850;7
7403;49.954;20880;7
7413;49.726;20910;7
7423;49.498;20940;7
7433;49.269;20970;7
7443;49.041;21000;7
7453;48.813;21030;7
7463;48.585;21060;7
7473;48.356;21090;7
7483;48.128;21120;7
7493;47.9;21150;7
7503;47.671;21180;7
7513;47.443;21210;7
7523;47.214;21240;7
7533;46.986;21270;7
7543;46.757;21300;7
7553;46.528;21330;7
7563;46.299;21360;7
7573;46.071;21390;7
7583;45.842;21420;7
7593;45.613;21450;7
7603;45.384;21480;7
7613;45.155;21510;7
7623;44.926;21540;7
7633;44.697;21570;7
7643;44.467;21600;7
7653;44.239;21630;7
7663;44.01;21660;7
7673;43.781;21690;7
7683;43.553;21720;7
7693;43.324;21750;7
7703;43.095;21780;7
7713;42.866;21810;7
7723;42.637;21840;7
7733;42.408;21870;7
7743;42.179;21900;7
7753;41.951;21930;7
7763;41.722;21960;7
7773;41.493;21990;7
7783;41.264;22020;7
7793;41.035;22050;7
7803;40.806;22080;7
7813;40.577;22110;7
7823;40.348;22140;7
7833;40.119;22170;7
7843;39.89;22200;7
7853;39.661;22230;7
7863;39.433;22260;7
7873;39.205;22290;7
7883;38.976;22320;7
7893;38.748;22350;7
7903;38.52;22380;7
7913;38.291;22410;7
7923;38.063;22440;7
7933;37.835;22470;7
7943;37.606;22500;7
7953;37.378;22530;7
7963;37.15;22560;7
7973;36.921;22590;7
7983;36.693;22620;7
7993;36.465;22650;7
8003;36.237;22680;7
8013;36.009;22710;7
8023;35.78;22740;7
8033;35.552;22770;7
8043;35.324;22800;7
8053;35.097;22830;7
8063;34.87;22860;7
8073;34.642;22890;7
8083;34.415;22920;7
8093;34.188;22950;7
8103;33.961;22980;7
8113;33.733;23010;7
8123;33.506;23040;7
8133;33.279;23070;7
8143;33.052;23100;7
8153;32.825;23130;7
8163;32.598;23160;7
8173;32.371;23190;7
8183;32.144;23220;7
8193;31.918;23250;7
8203;31.691;23280;7
8213;31.464;23310;7
8223;31.237;23340;7
8233;31.011;23370;7
8243;30.784;23400;7
8253;30.559;23430;7
8263;30.333;23460;7
8273;30.107;23490;7
8283;29.882;23520;7
8293;29.656;23550;7
8303;29.431;23580;7
8313;29.205;23610;7
8323;28.98;23640;7
8333;28.755;23670;7
8343;28.53;23700;7
8353;28.304;23730;7
8363;28.079;23760;7
8373;27.854;23790;7
8383;27.63;23820;7
8393;27.405;23850;7
8402;27.18;23880;7
8411;26.955;23910;7
8420;26.731;23940;7
8429;26.506;23970;7
8438;26.282;24000;7
8447;26.058;24030;7
8456;25.835;24060;7
8465;25.611;24090;7
8474;25.388;24120;7
8483;25.165;24150;7
8492;24.942;24180;7
8501;24.719;24210;7
8510;24.496;24240;7
8519;24.273;24270;7
8528;24.05;24300;7
8537;23.827;24330;7
8546;23.604;24360;7
8555;23.382;24390;7
8564;23.159;24420;7
8573;22.937;24450;7
8582;22.715;24480;7
8591;22.493;24510;7
8600;22.271;24540;7
8610;22.049;24570;7
8620;21.827;24600;7
8630;21.606;24630;7
8640;21.385;24660;7
8650;21.165;24690;7
8660;20.944;24720;7
8670;20.723;24750;7
8680;20.503;24780;7
8690;20.283;24810;7
8700;20.062;24840;7
8710;19.842;24870;7
8721;19.622;24900;7
8732;19.402;24930;7
8743;19.183;24960;7
8754;18.963;24990;7
8765;18.743;25020;7
8776;18.524;25050;7
8787;18.305;25080;7
8798;18.085;25110;7
8809;17.866;25140;7
8820;17.648;25170;7
8831;17.429;25200;7
8842;17.211;25230;7
8853;16.993;25260;7
8864;16.775;25290;7
8875;16.558;25320;7
8886;16.341;25350;7
8897;16.123;25380;7
8908;15.906;25410;7
8919;15.689;25440;7
8931;15.472;25470;7
8943;15.255;25500;7
8955;15.039;25530;7
8967;14.822;25560;7
8979;14.606;25590;7
8991;14.389;25620;7
9003;14.173;25650;7
9015;13.957;25680;7
9027;13.742;25710;7
9039;13.526;25740;7
9051;13.31;25770;7
9063;13.095;25800;7
9075;12.881;25830;7
9087;12.666;25860;7
9099;12.452;25890;7
9111;12.238;25920;7
9123;12.024;25950;7
9135;11.81;25980;7
9147;11.597;26010;7
9159;11.383;26040;7
9171;11.17;26070;7
9183;10.957;26100;7
9195;10.743;26130;7
9207;10.531;26160;7
9219;10.318;26190;7
9231;10.105;26220;7
9243;9.893;26250;7
9255;9.681;26280;7
9267;9.468;26310;7
9279;9.256;26340;7
9291;9.045;26370;7
9303;8.833;26400;7
9315;8.622;26430;7
9327;8.412;26460;7
9339;8.201;26490;7
9351;7.991;26520;7
9363;7.781;26550;7
9375;7.571;26580;7
9387;7.361;26610;7
9399;7.152;26640;7
9411;6.942;26670;7
9423;6.733;26700;7
9435;6.524;26730;7
9447;6.315;26760;7
9459;6.106;26790;7
9471;5.897;26820;7
9484;5.689;26850;7
9497;5.481;26880;7
9510;5.272;26910;7
9523;5.065;26940;7
9536;4.857;26970;7
9549;4.649;27000;7
9562;4.443;27030;7
9575;4.236;27060;7
9588;4.03;27090;7
9601;3.824;27120;7
9614;3.618;27150;7
9627;3.412;27180;7
9640;3.206;27210;7
9653;3.001;27240;7
9666;2.795;27270;7
9679;2.59;27300;7
9692;2.385;27330;7
9705;2.181;27360;7
9718;1.976;27390;7
9731;1.772;27420;7
9744;1.568;27450;7
9757;1.364;27480;7
9770;1.16;27510;7
9783;0.957;27540;7
9795;0.753;27570;7
9807;0.55;27600;7
9819;0.348;27630;7
9831;0.146;27660;7
