;svs_x;epoch;ele;azi;PhaseL1-L2;codeP2-P1;Vtec
176;G11;5280;62.243;-145.008;-1705658.518;1103086.032;
177;G11;5310;62.489;-144.862;-1705906.444;1134303.653;
178;G11;5340;62.734;-144.715;-1706533.802;1156194.057;
179;G11;5370;62.979;-144.568;-1707025.626;1198261.704;
180;G11;5400;63.224;-144.418;-1707737.2;1146581.314;
181;G11;5430;63.469;-144.264;-1707903.32;1104513.667;
182;G11;5460;63.714;-144.107;-1708413.554;1108225.518;
183;G11;5490;63.96;-143.949;-1708627.064;1093758.816;
184;G11;5520;64.205;-143.79;-1709057.607;1143916.395;
185;G11;5550;64.45;-143.629;-1709687.976;1135731.288;
186;G11;5580;64.695;-143.466;-1710401.658;1156289.233;
187;G11;5610;64.94;-143.302;-1710888.343;1133256.72;
188;G11;5640;65.185;-143.136;-1711480.374;1142488.76;
189;G11;5670;65.43;-142.968;-1711512.765;1103086.032;
190;G11;5700;65.675;-142.799;-1712215.576;1144011.571;
191;G11;5730;65.92;-142.628;-1712901.481;1152196.679;
192;G11;5760;66.164;-142.455;-1713614.553;1122025.991;
193;G11;5790;66.409;-142.281;-1713892.047;1087096.519;
194;G11;5820;66.654;-142.104;-1714295.715;1048740.724;
195;G11;5850;66.898;-141.926;-1714705.118;1130211.099;
196;G11;5880;67.142;-141.746;-1715167.646;1109748.329;
197;G11;5910;67.387;-141.563;-1715492.527;1146581.314;
198;G11;5940;67.631;-141.379;-1716311.545;1110129.032;
199;G11;5970;67.875;-141.193;-1717148.371;1129068.991;
200;G11;6000;68.119;-141.004;-1717347.074;1123453.626;
201;G11;6030;68.363;-140.807;-1717552.115;1138396.207;
202;G11;6060;68.607;-140.607;-1717963.926;1104132.965;
204;G11;6120;69.095;-140.2;-1719263.571;1139919.017;
205;G11;6150;69.339;-139.993;-1719676.586;1138396.206;
206;G11;6180;69.582;-139.782;-1720090.205;1137349.274;
207;G11;6210;69.826;-139.569;-1720355.912;1179321.745;
208;G11;6240;70.069;-139.352;-1721311.36;1171136.637;
209;G11;6270;70.312;-139.133;-1722164.477;1098993.479;
210;G11;6300;70.555;-138.91;-1722674.987;1137254.098;
211;G11;6330;70.798;-138.684;-1723161.046;1127546.18;
212;G11;6360;71.041;-138.455;-1723469.009;1160381.786;
214;G11;6420;71.526;-137.986;-1724201.751;1120503.18;
215;G11;6450;71.768;-137.746;-1724595.136;1145534.382;
216;G11;6480;72.01;-137.502;-1724877.438;1131638.734;
217;G11;6510;72.252;-137.254;-1725171.21;1165901.975;
218;G11;6540;72.493;-137.002;-1725664.808;1120883.883;
219;G11;6570;72.735;-136.745;-1725785.614;1150673.868;
220;G11;6600;72.976;-136.485;-1726329.017;1133161.544;
222;G11;6660;73.458;-135.931;-1727143.245;1138396.206;
223;G11;6690;73.698;-135.646;-1727622.049;1145439.206;
224;G11;6720;73.939;-135.355;-1728045.611;1104513.667;
226;G11;6780;74.419;-134.756;-1729049.698;1115363.694;
227;G11;6810;74.658;-134.447;-1729328.669;1090808.371;
228;G11;6840;74.898;-134.132;-1729611.564;1077483.777;
229;G11;6870;75.137;-133.809;-1729918.001;1104513.667;
230;G11;6900;75.375;-133.48;-1730386.535;1108606.221;
231;G11;6930;75.614;-133.143;-1730945.624;1130211.099;
232;G11;6960;75.852;-132.798;-1731385.48;1119361.072;
233;G11;6990;76.09;-132.445;-1732060.177;1116410.626;
234;G11;7020;76.327;-132.083;-1732232.285;1120979.059;
235;G11;7050;76.564;-131.713;-1732880.418;1139823.842;
236;G11;7080;76.8;-131.333;-1733137.345;1146581.314;
237;G11;7110;77.037;-130.943;-1733676.808;1075960.966;
238;G11;7140;77.272;-130.542;-1734084.963;1086715.817;
239;G11;7170;77.508;-130.131;-1734502.474;1103086.032;
240;G11;7200;77.742;-129.708;-1735036.803;1100516.289;
241;G11;7230;77.976;-129.259;-1735556.038;1098993.478;
242;G11;7260;78.21;-128.797;-1736339.999;1119456.248;
243;G11;7290;78.443;-128.32;-1736824.518;1106131.654;
244;G11;7320;78.675;-127.829;-1737104.983;1116791.329;
245;G11;7350;78.907;-127.321;-1737727.146;1088238.627;
246;G11;7380;79.138;-126.796;-1738113.258;1042078.427;
247;G11;7410;79.368;-126.253;-1738595.058;1052928.453;
248;G11;7440;79.598;-125.691;-1739163.488;1111175.964;
249;G11;7470;79.827;-125.109;-1739363.353;1045885.454;
250;G11;7500;80.055;-124.506;-1740090.558;1078530.709;
251;G11;7530;80.282;-123.879;-1740729.62;1089761.438;
252;G11;7560;80.508;-123.228;-1740887.523;1081481.155;
253;G11;7590;80.733;-122.552;-1741269.403;1088238.627;
254;G11;7620;80.957;-121.847;-1741427.909;1085193.006;
255;G11;7650;81.18;-121.113;-1741727.681;1040555.616;
256;G11;7680;81.402;-120.346;-1742264.108;1083765.371;
257;G11;7710;81.623;-119.546;-1742238.78;1096423.735;
258;G11;7740;81.842;-118.709;-1742552.437;1094900.924;
259;G11;7770;82.059;-117.833;-1742717.276;1054070.561;
260;G11;7800;82.275;-116.915;-1742912.603;1082623.263;
261;G11;7830;82.488;-115.929;-1743321.642;1118314.14;
262;G11;7860;82.7;-114.892;-1743429.428;1123548.802;
263;G11;7890;82.909;-113.801;-1743943.209;1067775.858;
264;G11;7920;83.116;-112.651;-1744180.188;1045790.278;
266;G11;7980;83.522;-110.157;-1744620.938;1051405.642;
267;G11;8010;83.721;-108.802;-1744713.024;1103086.032;
268;G11;8040;83.916;-107.367;-1744927.058;1071868.412;
269;G11;8070;84.108;-105.847;-1745197.839;1075580.263;
270;G11;8100;84.296;-104.233;-1745675.09;1041792.9;
271;G11;8130;84.48;-102.521;-1745845.352;1035035.427;
272;G11;8160;84.659;-100.7;-1745992.371;1049882.832;
273;G11;8190;84.833;-98.765;-1746420.416;1060732.859;
274;G11;8220;85.002;-96.706;-1746524.267;1079672.817;
275;G11;8250;85.164;-94.516;-1746477.19;1078530.709;
276;G11;8280;85.319;-92.188;-1746894.667;1113840.883;
277;G11;8310;85.467;-89.713;-1746731.977;1108701.397;
278;G11;8340;85.606;-87.086;-1747092.402;1085573.709;
279;G11;8370;85.737;-84.303;-1747690.085;1107178.586;
280;G11;8400;85.857;-81.36;-1747651.757;1039127.981;
281;G11;8430;85.965;-78.231;-1747888.117;1066633.75;
282;G11;8460;86.06;-74.949;-1747842.24;1063683.304;
283;G11;8490;86.143;-71.522;-1747974.156;1082623.263;
285;G11;8550;86.268;-64.294;-1748397.365;1070345.601;
286;G11;8580;86.308;-60.534;-1748770.762;1071773.236;
287;G11;8610;86.334;-56.712;-1748653.644;1087762.749;
288;G11;8640;86.344;-52.855;-1748744.503;1033893.319;
289;G11;8670;86.338;-48.998;-1748840.795;1060637.683;
290;G11;8700;86.317;-45.17;-1748959.12;1060637.683;
291;G11;8730;86.281;-41.402;-1748949.459;1092331.181;
292;G11;8760;86.23;-37.72;-1749168;1064730.237;
293;G11;8790;86.165;-34.149;-1749532.336;1058448.642;
294;G11;8820;86.087;-30.707;-1749545.613;1061018.385;
295;G11;8850;85.996;-27.407;-1749453.843;1078911.412;
296;G11;8880;85.894;-24.259;-1749667.55;1066633.75;
297;G11;8910;85.781;-21.268;-1749944.647;1103086.032;
298;G11;8940;85.658;-18.434;-1750276.378;1086715.817;
299;G11;8970;85.526;-15.757;-1750342.475;1096328.56;
302;G11;9060;85.078;-8.659;-1750790.094;1002294.996;
305;G11;9150;84.572;-2.776;-1751117.568;1131733.909;
306;G11;9180;84.394;-1.044;-1751372.923;1108606.221;
307;G11;9210;84.213;0.588;-1750975.062;1102990.856;
308;G11;9240;84.027;2.127;-1751004.325;1073296.047;
309;G11;9270;83.838;3.579;-1751212.587;1091189.073;
310;G11;9300;83.647;4.95;-1751621.885;1101658.397;
311;G11;9330;83.453;6.248;-1751533.724;1077103.074;
