morp	Morpeth                                      	United Kingdom                  	358.3145	55.2128	144.4	NCL                
mqzg	Christchurch                                 	New Zealand                     	172.6547	-43.7027	154.68	GNS                
msku	Franceville                                  	Gabon                           	13.552	-1.6312	387	JPL                
mtbg	Mattersburg                                  	Austria                         	16.4043	47.7379	294	BEWAG              
mtka	Mitaka                                       	Japan                           	139.5614	35.6795	109	ENRI               
nain	Nain                                         	Canada                          	298.3113	56.537	33.48	NRCan/GSD          
nama	Namas                                        	Saudi Arabia                    	42.0446	19.2114	2703.2212	MIT                
nano	Nanoose Bay                                  	Canada                          	235.9135	49.2948	6	GSC                
nico	Nicosia                                      	Cyprus                          	33.3964	35.1409	155	BKG                
nist	Boulder                                      	USA                             	254.7374	39.9951	1648.488	NIST               
nisu	Boulder                                     	USA                             	254.7378	39.9954	1653.9	  NIST                       
nium	Alofi                                        	Niue                            	190.0729	-19.0766	90.1	GNS                
nklg	Libreville                                   	Gabon                           	9.6721	0.3539	31.48	CNES               
nlib	North Liberty                                	USA                             	268.4251	41.7716	207.0648	JPL                
nnor	New Norcia                                   	Australia                       	116.1927	-31.0487	234.984	ESOC               
not1	Noto                                         	Italy                           	14.9898	36.8761	126.2	ASI                
novm	Novosibirsk                                  	RUSSIA                          	82.9095	55.0305	149.98	IMVP               
npld	Teddington                                   	United Kingdom                  	359.6604	51.421	72.7	NPL                
nrc1	OTTAWA                                       	CANADA                          	284.3762	45.4542	82.48	NRCan/GSD          
nril	Norilsk                                      	Russian Federation              	88.3598	69.3618	47.8937	CMIS               
nrl1	Washington                                   	U.S.A.                          	282.9756	38.8208	-26.01	NRL                
nrmd	NOUMEA                                       	FRANCE                          	166.4849	-22.2283	160.38	DITTT              
nssp	Yerevan                                      	Republic of Armenia             	44.5029	40.2265	1194.7548	JPL                
ntus	Singapore                                    	Republic of Singapore           	103.6799	1.3458	79	DUT                
nurk	Kigali                                       	Ruanda                          	30.0899	-1.9446	1485.3	GFZ                
nvsk	Novosibirsk                                  	Russia                          	83.2355	54.8406	123.6429	IPGG SB RAS        
nya1	Ny-Alesund                                   	Norway                          	11.8653	78.9296	84	Kartverket         
nyal	Ny-Alesund                                   	Norway                          	11.87	78.93	82	NMA                
obe2	Oberpfaffenhofen                             	Germany                         	11.3	48.1	651	GFZ Potsdam        
ohi2	O'Higgins                                    	Antarctic Peninsula             	302.0987	-63.3211	33.1	BKG                
ohi3	O'Higgins                                    	Antarctic Peninsula             	302.0986	-63.3211	32.15	BKG                
onsa	Onsala                                       	Sweden                          	11.9255	57.3953	45.5	LMV                
opmt	Paris                                        	France                          	2.3349	48.8359	124.2	OP                 
orid	Ohrid                                        	Macedonia                       	20.7941	41.1273	773	BKG                
osje	Osijek                                       	Croatia                         	18.6805	45.5608	153.9	CGI                
osn1	Osan                                         	South Korea                     	127.024	37.0776	48.9	NGA                
osn2	Osan                                         	South Korea                     	127.024	37.0776	48.9	NGA                
ous2	Dunedin                                      	New Zealand                     	170.5109	-45.8695	26.1	GFZ-OU             
pado	Padova                                       	Italy                           	11.8961	45.4112	64.7	UNIPD              
palm	Palmer Station                               	Antarctica                      	295.9489	-64.7751	31.2394	JPL                
