;epoch;svs;Ispb;Vtec;Vtec2;Vtec3
1542;5310;G32;410873.37349266076;431689.6735292126;396347.3044903857;176075.03181099796
1544;5340;G27;360620.6192346241;378890.9367914495;347871.19243649434;154539.79522616212
1551;5340;G32;455130.06106145686;478188.56160670734;439039.3355520647;195040.72337013806
1553;5370;G27;349104.3630504907;366791.2262890455;336762.0834241442;149604.63684213723
1560;5370;G32;455510.7638096948;478588.55210426985;439406.578887386;195203.86912946706
1562;5400;G27;353672.79532023164;371591.1115147548;341169.0027639565;151562.38565020254
1569;5400;G32;427338.7650493301;448989.2601274086;412230.57651989145;183131.08491435845
1571;5430;G27;343679.34977449285;361091.3626300805;331528.8667508698;147279.81015155232
1578;5430;G32;420866.81903839955;442189.42241388693;405987.4405034724;180357.60730964819
1580;5460;G27;351864.45744338003;369691.1568375931;339424.59709219105;150787.44336936047
1587;5460;G32;460935.77673113556;484288.4153907146;444639.79521863844;197528.69566811065
1589;5490;G27;355861.8355907641;373891.05631695886;343280.6514290213;152500.4735384323
1596;5490;G32;400118.5228050032;420389.94402193354;385972.68214867834;171466.16494563108
1598;5520;G27;365379.402878484;383890.8172659401;352461.7334439673;156579.11691389192
1605;5520;G32;519278.4635028355;545586.94927038;500919.82729305374;222530.77925883437
1607;5550;G27;362904.83536949457;381290.8794043042;350074.65210640046;155518.66963019475
1614;5550;G32;500243.32928195276;525587.4277449376;482557.66360518377;214373.49265985642
1616;5580;G27;375848.72668224166;394890.5540863074;362560.9234551947;161065.62453573273
1623;5580;G32;438759.84536912554;460988.972819162;423247.8745274003;188025.45678258047
1625;5610;G27;343774.52563883085;361191.3604407312;331620.67775571113;147320.59666735522
1632;5610;G32;414585.225110702;435589.5806941867;399927.92683875794;177665.70288848502
1634;5640;G27;335779.76863494865;352791.5607369596;323908.56839800667;143894.53602532897
1641;5640;G32;381654.44270647736;400990.4082428348;368161.3834637904;163553.5969856466
1643;5670;G27;383177.253344872;402590.36986056453;369630.3564630538;164206.17987102128
1650;5670;G32;360049.5651122672;378290.9510451058;347320.3274335123;154295.07658716862
1652;5700;G27;374896.97016620386;393890.57821492135;361642.8154589132;160657.76028935154
1659;5700;G32;337207.4037635623;354291.5249165588;325285.7307344508;144506.33254684205
1661;5730;G27;351864.45744338003;369691.1568375931;339424.59709219105;150787.44336936047
1668;5730;G32;339110.9175047519;356291.47740437114;327121.9474110575;145322.061343487
1670;5760;G27;315126.64826589025;331092.08015565685;303985.6210480539;135043.88017711474
1677;5760;G32;347676.727921877;365291.2621094463;335384.9210877001;148992.84032062415
1679;5790;G27;393361.0502647297;413290.11399402004;379454.11414380115;168570.328249336
1686;5790;G32;429242.2784359627;450989.21224270086;414066.79285447625;183946.81355906214
1688;5820;G27;336541.17413142446;353591.54173208453;324643.05506864935;144220.82754398693
1695;5820;G32;381178.56444845843;400490.4203071417;367702.3294656497;163349.664862456
1697;5850;G27;355290.78146840725;373291.0705706151;342729.7864260393;152255.7548994388
1704;5850;G32;441424.7642522339;463788.90592957917;425818.57753262774;189167.4769459421
1706;5880;G27;350341.64680498536;368091.1952198634;337955.6240929276;150134.86048398577
1713;5880;G32;437712.91298874974;459888.99913712527;422237.9555262775;187576.80602039635
1715;5910;G27;335970.1200090676;352991.5559857408;324092.1900656673;143976.10890499345
1722;5910;G32;385937.3477377614;405490.3004091123;372292.8701311007;165388.98639824454
1724;5940;G27;362238.6057373567;380590.8962198299;349431.9764405991;155233.16462733966
1731;5940;G32;368234.67313571135;386890.7456251385;355216.05811685545;157802.70995691806
1733;5970;G27;343393.8225360359;360791.3695706486;331253.43407836783;147157.4507560849
1740;5970;G32;377752.2400688742;396890.50620159967;364397.13978977944;161881.3531804364
1742;6000;G27;357384.6462291588;375491.0179346886;344749.62442828476;153153.05642380696
1749;6000;G32;360335.09199616715;378590.9437320176;347595.75976399233;154417.4358306947
1751;6030;G27;366235.9838847408;384790.7956991956;353288.03077742935;156946.1947964115
1758;6030;G32;368520.2000196113;387190.7383120503;355491.49044733547;157925.06920044415
1760;6060;G27;340538.55227880855;357791.4412114502;328499.1094054796;145933.85771305877
1767;6060;G32;399071.5904246274;419289.97033989674;384962.7631475556;171017.51418344697
1769;6090;G27;393836.9285227486;413790.1019297131;379913.1681419419;168774.26037252657
1776;6090;G32;408684.3332221283;429389.72872700857;394235.6558253209;175136.9439227682
1778;6120;G27;354814.9032103884;372791.0826349221;342270.7324278986;152051.8227762482
1785;6120;G32;405162.83333276305;425689.8171833359;390838.6554866313;173627.84587688698
1787;6150;G27;361286.8488667619;379590.9199759237;348513.8681022957;154825.3002290172
1794;6150;G32;482350.30295122677;506787.8773396624;465297.2295812559;206705.64318692416
1796;6180;G27;333019.67424205923;349891.63018841186;321246.0547299598;142711.7294981057
1803;6180;G32;408493.98184800934;429189.73347822734;394052.03415766027;175055.37104310372
1805;6210;G27;363285.53776317544;381690.8695293465;350441.89509969985;155681.81523758243
1812;6210;G32;380702.68583588256;399990.4319989286;367243.275125487;163145.73258732414
1814;6240;G27;355100.4304488453;373091.075694354;342546.16510040057;152174.1821717156
1821;6240;G32;435999.75097623613;458089.04227061424;420585.3608593534;186842.6502553572
1823;6270;G27;355481.1328425262;373491.06581939635;342913.40809369995;152337.32777910327
1830;6270;G32;406019.41469357687;426589.79598911153;391664.95316211536;173994.92391134787
1832;6300;G27;362048.25400868076;380390.90059852856;349248.3544309165;155151.5915957339
1839;6300;G32;409255.38734448515;429989.7144733523;394786.52082830295;175381.6625617617
1841;6330;G27;370709.2402901438;389490.6831142543;357603.13911240036;158863.15708867394
1848;6330;G32;419819.88701258076;441089.44910437026;404977.5218443716;179908.9566994054
1850;6360;G27;388031.21249851293;407690.2477731858;374312.70813334617;166286.2879226127
1857;6360;G32;325120.09381162905;341591.8290403312;313625.7570611406;139326.45567576497
1859;6390;G27;378799.17244925;397990.4798836364;365407.0587909022;162330.00394262047
1866;6390;G32;393361.0502647297;413290.11399402004;379454.11414380115;168570.328249336
1868;6420;G27;355481.1328425262;373491.06581939635;342913.40809369995;152337.32777910327
1875;6420;G32;414204.52200790704;435189.58982410404;399560.68316141464;177502.5569772147
1877;6450;G27;379750.92931984476;398990.45612754254;366325.16712920554;162737.86834094295
1884;6450;G32;335018.3634930298;351991.5801143547;323174.0820693859;143568.24465861227
1886;6480;G27;363951.7677498703;382390.8530863409;351084.57110752317;155967.32039237884
1893;6480;G32;352245.15983706096;370091.1469626355;339791.8400854905;150950.58897674817
1895;6510;G27;414965.92750438285;435989.57081922895;400295.1698320573;177828.8484958727
1902;6510;G32;416488.73849733453;437589.5328094789;401764.14317334275;178481.43153318868
1904;6540;G27;377466.7131849743;396590.51351468783;364121.7074592994;161758.9939369103
1911;6540;G32;421628.22453487536;442989.40340901184;406721.9271741151;180683.89882830618
1913;6570;G27;369567.1320454301;388290.7116215669;356501.4091064363;158373.71981068695
1920;6570;G32;408208.4549641094;428889.74079131556;393776.6018271802;174933.01179957762
1922;6600;G27;321217.8911740259;337491.926999096;309861.51338712964;137654.21187055472
1929;6600;G32;395740.4419093812;415790.05404500535;381749.3844765267;169589.98901723025
1931;6630;G27;329783.701591151;346491.71170417115;318124.4870637723;141324.9908476919
1937;6630;G32;404972.4819586441;425489.82193455467;390655.03381897067;173546.2729972225
1939;6660;G27;361762.7271247808;380090.9079116168;348972.9221004364;155029.2323522078
1945;6660;G32;373945.21329560905;392890.60197101516;360724.7071206098;160249.89589102904
1947;6690;G27;372232.05092853843;391090.64473198407;359072.11211166374;159515.73997404857
1953;6690;G32;315031.4727561093;330992.0827175263;303893.81038523454;135003.09381325316
1955;6720;G27;350246.4709406474;367991.19740921276;337863.8130880863;150094.0739681829
1961;6720;G32;299993.7163280537;315192.4602989295;289387.7006921729;128558.83723140573
1963;6750;G27;344250.4038968497;361691.3483764242;332079.7317538518;147524.5287905458
1969;6750;G32;460364.7229633357;483688.43001689104;444088.9305576784;197283.97718105846
1971;6780;G27;332163.09323580243;348991.65175515634;320419.75739649776;142344.65161558613
1977;6780;G32;406780.8198354957;427389.77661171637;392399.4394907361;174321.21527806454
1979;6810;G27;346915.32242540113;364491.28111432126;334650.4344170574;148666.54880196616
1985;6810;G32;372707.92954111437;391590.63304019725;359531.16645182646;159719.6722491805
1987;6840;G27;360335.09199616715;378590.9437320176;347595.75976399233;154417.4358306947
1993;6840;G32;420295.7652705997;441589.4370400633;405436.57584251236;180112.888822596
1995;6870;G27;323882.8100571343;340291.86010951316;312432.21639235714;138796.23203391637
2001;6870;G32;398119.83355403267;418289.9940959906;384044.65480925224;170609.64978512452
2003;6900;G27;333019.67459661624;349891.630560932;321246.05507198174;142711.729650047
2009;6900;G32;408493.98184800934;429189.73347822734;394052.03415766027;175055.37104310372
2011;6930;G27;401450.9820692789;421789.910390882;387258.03348028107;172037.17495134124
2017;6930;G32;326642.90445002366;343191.79065806087;315094.730060404;139979.03856113963
2019;6960;G27;349104.3630504907;366791.2262890455;336762.0834241442;149604.63684213723
2025;6960;G32;401736.50930773583;422089.9034503139;387533.4661527831;172159.53434680865
2027;6990;G27;368805.7269035112;387490.73099896207;355766.92277781555;158047.42844397025
2033;6990;G32;399357.11730852735;419589.9630268085;385238.1954780356;171139.87342697306
2035;7020;G27;394788.6853933434;414790.0781736193;380831.27648024523;169182.12477084907
2041;7020;G32;486538.0324727298;511187.7720678093;469336.9055857468;208500.24623566045
2043;7050;G27;371470.6457866196;390290.6641093793;358337.62578304304;159189.4486073319
2049;7050;G32;454368.65556498105;477388.58061158244;438304.848881422;194714.43185148007
2051;7080;G27;358431.57896409155;376590.99198924546;345759.54377142945;153601.70733793234
2057;7080;G32;436951.50749227393;459089.01814200036;421503.4688556348;187250.5145017384
2059;7110;G27;376705.30768849846;395790.5325195629;363387.22078865673;161432.7024182523
2065;7110;G32;427909.81881712994;449589.2455012322;412781.4411808515;183375.80340141064
2067;7140;G27;378323.2941912311;397490.49194794334;364948.00479276147;162126.07181942987
2073;7140;G32;435904.5754664552;457989.04483248375;420493.5501965341;186801.86389149562
2075;7170;G27;355957.0111005451;373991.0537550894;343372.4620918407;152541.25990229388
2081;7170;G32;466836.6686197092;490488.26735789265;450332.06623207545;200057.4546338274
2083;7200;G27;389268.4962530076;408990.2167040037;375506.2488021296;166816.51156446125
2089;7200;G32;406495.2925970388;427089.78355228447;392124.0068182341;174198.85588259716
2091;7230;G27;367568.44314901653;386190.76206814416;354573.3821090321;157517.20480212168
2097;7230;G32;432858.95383510884;454789.1212245041;417555.60385598516;185496.69796880495
2099;7260;G27;371089.9430383817;389890.6736118168;357970.38244772167;159026.3028480029
2105;7260;G32;388507.0911110888;408190.2360813989;374771.76247350883;166490.22019774458
2107;7290;G27;346153.9172834823;363691.3004917165;333915.9480884367;148340.25743524948
2113;7290;G32;413347.94100165024;434289.6113908485;398734.3858279526;177135.47909469513
2115;7320;G27;377752.2400688742;396890.50620159967;364397.13978977944;161881.3531804364
2121;7320;G32;448658.1150505263;471388.7238931856;432796.1995356456;192267.24576542777
2123;7350;G27;375182.4970501038;394190.5709018331;361918.2477893933;160780.11953287764
2129;7350;G32;455034.88555167586;478088.5641685768;438947.5248892453;194999.93700627645
2131;7380;G27;380226.8075778637;399490.4440632356;366784.22112734633;162941.80046413356
2137;7380;G32;457794.9799445653;480988.49471712456;441610.0385572922;196182.7435334997
2139;7410;G27;390410.60449772136;410190.1881966911;376607.97880809364;167305.94884244824
2145;7410;G32;395550.09053526225;415590.0587962241;381565.76280886604;169508.41613756577
2147;7440;G27;375182.4970501038;394190.5709018331;361918.2477893933;160780.11953287764
2153;7440;G32;360430.2678605051;378690.9415426682;347687.5707688336;154458.22234649758
2155;7470;G27;379560.5775911688;398790.4605062412;366141.54511952295;162656.29530933715
2161;7470;G32;424578.6706564407;446089.3295788609;409568.0628518446;181948.27838713521
2163;7500;G27;361191.67300242395;379490.9221652731;348422.0570974544;154784.51371321428
2169;7500;G32;313318.3107435957;329192.1258510153;302241.21571831044;134268.93804821398
2171;7530;G27;388982.9690145507;408690.2236445718;375230.8161296276;166694.15216899387
2177;7530;G32;423531.7382760649;444989.35589682416;408558.1438507218;181499.62762495113
2179;7560;G27;371470.6454320626;390290.66373685916;358337.6254410211;159189.4484553906
2185;7560;G32;452369.9663140105;475288.63068563957;436376.82154199586;193857.9166909735
2187;7590;G27;376895.6590626174;395990.52776834415;363570.8424563174;161514.27529791679
2193;7590;G32;397643.95529601374;417790.00616029755;383585.60081111145;170405.71766193392
2195;7620;G27;375563.1997983417;394590.56139939564;362285.49112471467;160943.26529220663
