# UT  I_v  G_lon  G_lat  G_q_lon  G_q_lat  G_t  G_q_t
  6.450     22.224      0.224     -0.858     -0.058    -0.093      0.317     -3.261
  6.500     22.179      0.232     -0.847     -0.059    -0.090      0.277     -2.746
  6.550     21.915      0.236     -0.823     -0.059    -0.083     -0.040     -1.733
  6.600     21.808      0.245     -0.812     -0.059    -0.080     -0.201     -1.113
  6.650     21.748      0.256     -0.790     -0.060    -0.075     -0.403     -0.691
  6.700     21.563      0.264     -0.790     -0.060    -0.069     -0.639     -0.001
  6.750     21.404      0.269     -0.796     -0.059    -0.066     -0.935      0.777
  6.800     21.325      0.276     -0.788     -0.059    -0.063     -1.086      1.265
  6.850     21.233      0.284     -0.783     -0.059    -0.060     -1.264      1.753
  6.900     21.158      0.291     -0.777     -0.059    -0.056     -1.449      2.175
  6.950     21.111      0.296     -0.772     -0.059    -0.053     -1.628      2.495
  7.000     21.082      0.302     -0.771     -0.059    -0.049     -1.849      2.621
  7.050     21.077      0.306     -0.766     -0.059    -0.045     -2.043      2.767
  7.100     21.080      0.311     -0.767     -0.059    -0.040     -2.211      2.798
  7.150     21.116      0.315     -0.774     -0.058    -0.034     -2.343      2.663
  7.200     21.236      0.329     -0.786     -0.059    -0.026     -2.568      2.318
  7.250     21.352      0.330     -0.793     -0.059    -0.019     -2.672      1.913
  7.300     21.201      0.318     -0.738     -0.059    -0.001     -3.055      2.366
  7.350     21.248      0.317     -0.743     -0.059     0.010     -3.088      2.154
  7.400     21.367      0.316     -0.740     -0.059     0.019     -3.112      1.704
  7.450     21.503      0.317     -0.738     -0.058     0.026     -3.142      1.284
  7.500     21.664      0.316     -0.734     -0.058     0.034     -3.095      0.711
  7.550     21.832      0.315     -0.729     -0.057     0.040     -3.052      0.192
  7.600     22.018      0.312     -0.721     -0.057     0.046     -2.944     -0.418
  7.650     22.292      0.297     -0.697     -0.059     0.052     -2.799     -1.219
  7.700     23.044      0.234     -0.563     -0.067     0.047     -2.025     -2.661
  7.750     23.295      0.213     -0.529     -0.069     0.049     -1.704     -3.345
  7.800     23.372      0.207     -0.465     -0.072     0.064     -1.107     -3.665
  7.850     23.793      0.154     -0.442     -0.076     0.057     -1.215     -4.691
  7.900     23.998      0.129     -0.429     -0.076     0.053     -1.049     -5.217
  7.950     24.144      0.109     -0.421     -0.077     0.051     -0.849     -5.671
  8.000     24.260      0.086     -0.407     -0.077     0.047     -0.673     -5.948
  8.050     24.333      0.067     -0.396     -0.077     0.045     -0.445     -6.208
  8.100     24.387      0.045     -0.387     -0.077     0.042     -0.225     -6.347
  8.150     24.415      0.021     -0.377     -0.078     0.040     -0.079     -6.344
  8.200     24.348      0.000     -0.371     -0.079     0.039      0.378     -5.712
  8.250     24.238     -0.024     -0.361     -0.080     0.038      0.674     -4.916
  8.300     23.740     -0.061     -0.386     -0.083     0.050      0.801     -2.693
  8.350     23.479     -0.081     -0.379     -0.086     0.054      1.115     -1.041
  8.400     23.158     -0.107     -0.368     -0.088     0.058      1.186      0.417
  8.450     22.898     -0.133     -0.356     -0.088     0.062      1.063      1.221
  8.500     22.654     -0.162     -0.342     -0.088     0.066      0.833      1.868
  8.550     22.100     -0.214     -0.322     -0.081     0.072      0.805      2.986
  8.600     21.863     -0.240     -0.316     -0.082     0.080      0.546      3.592
  8.650     22.111     -0.248     -0.401     -0.081     0.066      0.736      3.012
  8.700     22.023     -0.270     -0.417     -0.081     0.067      0.579      3.287
  8.750     21.984     -0.295     -0.438     -0.080     0.067      0.372      3.360
  8.800     21.970     -0.319     -0.454     -0.080     0.067      0.127      3.379
  8.850     21.994     -0.344     -0.472     -0.080     0.067     -0.128      3.327
  8.900     22.336     -0.351     -0.512     -0.083     0.061     -0.110      2.734
  8.950     22.365     -0.375     -0.522     -0.084     0.062     -0.234      2.762
  9.000     22.436     -0.400     -0.534     -0.086     0.063     -0.335      2.723
  9.050     22.530     -0.422     -0.544     -0.088     0.064     -0.476      2.707
  9.100     22.674     -0.443     -0.555     -0.091     0.065     -0.626      2.620
  9.150     23.969     -0.507     -0.480     -0.122     0.076     -1.064      0.350
  9.200     24.072     -0.503     -0.490     -0.120     0.071     -1.104      0.299
  9.250     24.135     -0.492     -0.503     -0.117     0.065     -1.166      0.301
  9.300     24.195     -0.482     -0.517     -0.114     0.060     -1.212      0.262
  9.350     23.743     -0.420     -0.567     -0.091     0.039     -1.554      0.893
  9.400     23.870     -0.408     -0.587     -0.087     0.032     -1.562      0.564
  9.450     24.025     -0.399     -0.607     -0.085     0.026     -1.576      0.268
  9.500     24.190     -0.388     -0.629     -0.082     0.020     -1.559     -0.128
  9.550     24.322     -0.376     -0.655     -0.079     0.014     -1.484     -0.473
  9.600     24.434     -0.362     -0.684     -0.075     0.009     -1.359     -0.809
  9.650     24.585     -0.349     -0.706     -0.070    -0.003     -1.233     -1.374
  9.700     24.646     -0.338     -0.739     -0.068    -0.007     -1.114     -1.422
  9.750     24.745     -0.329     -0.761     -0.067    -0.009     -0.902     -1.670
  9.800     24.793     -0.318     -0.790     -0.064    -0.013     -0.665     -1.917
  9.850     24.893     -0.310     -0.835     -0.060    -0.020     -0.473     -2.546
  9.900     25.150     -0.310     -0.903     -0.057    -0.032     -0.312     -3.633
  9.950     25.077     -0.295     -0.929     -0.055    -0.029      0.254     -3.735
 10.000     25.031     -0.288     -0.944     -0.053    -0.032      0.746     -3.958
 10.050     24.930     -0.281     -0.958     -0.051    -0.033      1.200     -3.989
 10.100     24.785     -0.274     -0.971     -0.049    -0.033      1.648     -3.918
 10.150     24.626     -0.267     -0.979     -0.048    -0.034      2.022     -3.847
 10.200     24.481     -0.261     -0.981     -0.047    -0.036      2.353     -3.820
 10.250     24.287     -0.255     -0.980     -0.046    -0.036      2.637     -3.674
 10.300     23.979     -0.252     -0.965     -0.046    -0.031      2.926     -3.270
 10.350     23.702     -0.246     -0.962     -0.045    -0.030      3.239     -2.939
 10.400     23.407     -0.240     -0.956     -0.044    -0.029      3.487     -2.559
 10.450     23.116     -0.234     -0.950     -0.043    -0.028      3.711     -2.244
 10.500     22.807     -0.228     -0.942     -0.043    -0.027      3.916     -1.851
 10.550     22.526     -0.225     -0.936     -0.042    -0.027      4.111     -1.611
 10.600     22.284     -0.223     -0.918     -0.042    -0.030      4.303     -1.449
 10.650     21.996     -0.218     -0.907     -0.041    -0.031      4.416     -1.138
 10.700     21.707     -0.214     -0.895     -0.041    -0.032      4.507     -0.868
 10.750     21.380     -0.209     -0.880     -0.040    -0.034      4.498     -0.615
 10.800     21.433     -0.207     -0.757     -0.037    -0.066      4.996     -1.327
 10.850     21.152     -0.200     -0.716     -0.036    -0.073      5.099     -1.108
 10.900     20.864     -0.193     -0.672     -0.035    -0.081      5.160     -0.858
 10.950     20.593     -0.187     -0.637     -0.034    -0.087      5.226     -0.698
 11.000     20.147     -0.190     -0.581     -0.032    -0.089      5.141     -0.099
 11.050     19.831     -0.185     -0.546     -0.031    -0.094      5.126      0.169
 11.100     19.508     -0.180     -0.512     -0.030    -0.098      5.049      0.456
 11.150     19.194     -0.173     -0.475     -0.029    -0.103      4.926      0.717
 11.200     18.993     -0.170     -0.448     -0.028    -0.108      4.722      0.703
 11.250     18.644     -0.158     -0.411     -0.026    -0.112      4.587      0.978
 11.300     18.317     -0.147     -0.378     -0.024    -0.116      4.465      1.209
 11.350     17.997     -0.134     -0.344     -0.022    -0.120      4.308      1.352
 11.400     17.682     -0.120     -0.308     -0.020    -0.124      4.113      1.379
 11.450     17.393     -0.106     -0.275     -0.017    -0.128      3.909      1.336
 11.500     17.095     -0.091     -0.241     -0.014    -0.131      3.688      1.220
 11.550     16.743     -0.072     -0.216     -0.010    -0.134      3.404      1.274
 11.600     16.293     -0.046     -0.177     -0.002    -0.134      2.880      0.301
 11.650     16.054     -0.032     -0.148      0.001    -0.138      2.849      0.288
 11.700     15.845     -0.020     -0.119      0.003    -0.141      2.827      0.210
 11.750     15.602     -0.008     -0.084      0.006    -0.144      2.825      0.148
 11.800     15.025      0.001     -0.090      0.008    -0.130      2.419      0.937
 11.850     14.991      0.001     -0.024      0.010    -0.138      1.973      0.408
 11.900     14.690      0.007     -0.006      0.012    -0.133      1.933      0.514
 11.950     14.188      0.004      0.047      0.013    -0.121      1.597      1.032
 12.000     13.862      0.006      0.068      0.015    -0.115      1.401      1.317
 12.050     13.628      0.012      0.092      0.017    -0.111      1.266      1.365
 12.100     13.423      0.017      0.117      0.018    -0.107      1.117      1.383
 12.150     13.437      0.034      0.167      0.017    -0.103      0.783      0.914
 12.200     13.205      0.032      0.177      0.019    -0.099      0.726      0.983
 12.250     13.010      0.031      0.187      0.020    -0.097      0.515      1.457
 12.300     12.795      0.028      0.196      0.021    -0.093      0.403      1.635
 12.350     12.258      0.010      0.226      0.027    -0.083      0.133      2.341
 12.400     11.801     -0.022      0.218      0.034    -0.080      0.167      2.684
 12.450     11.711     -0.031      0.234      0.035    -0.075      0.004      2.258
 12.500     11.648     -0.040      0.249      0.036    -0.070     -0.174      1.848
 12.550     11.603     -0.048      0.262      0.037    -0.065     -0.359      1.478
 12.600     11.577     -0.060      0.272      0.039    -0.060     -0.435      0.861
 12.650     11.447     -0.079      0.270      0.041    -0.054     -0.397      0.458
 12.700     11.334     -0.093      0.268      0.043    -0.048     -0.366      0.191
 12.750     11.019     -0.085      0.302      0.045    -0.037     -0.108      0.491
 12.800     11.030     -0.101      0.288      0.045    -0.033     -0.141      0.129
 12.850     11.024     -0.116      0.283      0.045    -0.028     -0.080     -0.142
 12.900     10.947     -0.130      0.262      0.045    -0.020     -0.182     -0.204
 12.950     11.176     -0.133      0.233      0.040    -0.015      0.040     -0.727
 13.000     11.219     -0.147      0.211      0.039    -0.010      0.129     -0.887
 13.050     11.211     -0.159      0.181      0.037    -0.002      0.143     -0.845
 13.100     11.285     -0.172      0.164      0.034     0.002      0.220     -0.970
 13.150     11.378     -0.183      0.150      0.032     0.005      0.302     -1.091
 13.200     11.494     -0.196      0.138      0.029     0.007      0.388     -1.190
 13.250     11.602     -0.207      0.129      0.026     0.010      0.487     -1.269
 13.300     11.863     -0.210      0.128      0.019     0.013      0.690     -1.515
 13.350     11.995     -0.222      0.124      0.015     0.015      0.822     -1.473
 13.400     12.212     -0.239      0.127      0.010     0.016      0.908     -1.655
 13.450     12.346     -0.258      0.126      0.005     0.017      0.996     -1.475
 13.500     12.468     -0.278      0.128      0.000     0.018      1.071     -1.289
 13.550     12.604     -0.298      0.128     -0.004     0.019      1.190     -1.280
 13.600     12.735     -0.316      0.128     -0.009     0.020      1.382     -1.449
 13.650     12.853     -0.335      0.130     -0.013     0.021      1.532     -1.544
 13.700     12.953     -0.353      0.132     -0.017     0.023      1.716     -1.730
 13.750     13.047     -0.372      0.139     -0.021     0.025      1.831     -1.748
 13.800     13.386     -0.420      0.173     -0.032     0.032      1.738     -2.162
 13.850     13.355     -0.436      0.187     -0.036     0.035      1.771     -1.708
 13.900     13.272     -0.457      0.189     -0.040     0.037      1.784     -0.729
 13.950     13.193     -0.472      0.197     -0.044     0.039      1.690      0.133
 14.000     13.029     -0.481      0.247     -0.048     0.047      1.787      0.931
 14.050     13.038     -0.496      0.266     -0.052     0.048      1.663      1.507
 14.100     13.048     -0.508      0.282     -0.055     0.050      1.522      1.860
 14.150     13.073     -0.518      0.300     -0.058     0.050      1.253      2.241
 14.200     13.142     -0.524      0.312     -0.061     0.048      0.955      2.677
 14.250     13.166     -0.527      0.319     -0.063     0.048      0.564      2.914
 14.300     13.204     -0.529      0.324     -0.064     0.047      0.159      3.180
 14.350     13.256     -0.528      0.328     -0.066     0.045     -0.232      3.451
 14.400     13.306     -0.523      0.332     -0.067     0.043     -0.560      3.898
 14.450     13.370     -0.517      0.334     -0.068     0.041     -0.923      4.208
 14.500     13.455     -0.510      0.334     -0.069     0.039     -1.296      4.457
 14.550     13.565     -0.501      0.333     -0.069     0.037     -1.659      4.594
 14.600     13.691     -0.490      0.332     -0.070     0.034     -1.977      4.808
 14.650     13.848     -0.477      0.331     -0.070     0.031     -2.246      4.909
 14.700     14.533     -0.456      0.361     -0.074     0.015     -2.102      3.499
 14.750     14.723     -0.438      0.358     -0.074     0.011     -2.245      3.431
 14.800     15.608     -0.379      0.299     -0.084     0.000     -1.127      1.421
 14.850     16.003     -0.338      0.251     -0.087    -0.010     -0.667      0.663
 14.900     16.220     -0.302      0.231     -0.089    -0.015     -0.471      0.345
 14.950     16.405     -0.264      0.212     -0.091    -0.019     -0.240     -0.046
 15.000     16.544     -0.229      0.199     -0.092    -0.022     -0.080     -0.325
 15.050     16.646     -0.188      0.185     -0.093    -0.025      0.081     -0.587
 15.100     16.708     -0.144      0.172     -0.093    -0.027      0.240     -0.847
 15.150     16.777     -0.092      0.162     -0.094    -0.026      0.342     -1.174
 15.200     16.844     -0.027      0.156     -0.096    -0.024      0.397     -1.671
 15.250     17.208      0.084      0.151     -0.106    -0.011      0.071     -2.760
 15.300     17.289      0.149      0.160     -0.107    -0.006      0.165     -3.470
 15.350     17.384      0.216      0.180     -0.108    -0.001      0.351     -4.401
 15.400     17.435      0.284      0.207     -0.109     0.005      0.601     -5.204
 15.450     17.690      0.387      0.283     -0.109     0.005      0.594     -6.735
 15.500     17.628      0.462      0.307     -0.109     0.014      0.866     -7.569
 15.550     17.468      0.534      0.336     -0.108     0.021      1.279     -7.937
 15.600     17.222      0.603      0.367     -0.107     0.027      1.797     -7.931
 15.650     16.757      0.684      0.435     -0.105     0.040      2.493     -7.462
 15.700     16.327      0.752      0.470     -0.102     0.045      3.087     -6.924
 15.750     15.892      0.814      0.505     -0.100     0.050      3.755     -6.420
 15.800     14.933      0.931      0.697     -0.101     0.088      5.092     -4.914
 15.850     14.371      0.991      0.679     -0.098     0.094      5.674     -4.436
 15.900     13.955      1.038      0.658     -0.097     0.097      6.131     -4.387
 15.950     13.523      1.081      0.641     -0.095     0.096      6.546     -4.019
 16.000     13.090      1.120      0.621     -0.093     0.092      6.934     -3.711
 16.050     12.314      1.250      0.610     -0.081     0.067      7.811     -2.225
 16.100     11.847      1.258      0.580     -0.080     0.062      8.019     -1.555
 16.150     10.512      1.047      0.368     -0.042     0.002      6.840      2.099
 16.200      9.979      1.012      0.317     -0.034    -0.015      6.556      3.077
 16.250      9.528      0.989      0.274     -0.028    -0.029      6.315      3.706
 16.300      9.123      0.972      0.238     -0.022    -0.041      6.048      4.219
 16.350      8.752      0.954      0.201     -0.017    -0.054      5.733      4.649
 16.400      8.434      0.936      0.162     -0.012    -0.066      5.416      4.829
 16.450      8.146      0.918      0.125     -0.007    -0.078      5.050      5.009
 16.500      7.598      0.857      0.041      0.003    -0.085      4.200      5.754
 16.550      6.884      0.811      0.153      0.006    -0.061      3.040      6.706
 16.600      6.684      0.776      0.141      0.011    -0.065      2.429      6.383
 16.650      6.461      0.733      0.131      0.018    -0.069      1.936      6.080
 16.700      6.257      0.684      0.121      0.025    -0.072      1.483      5.742
