Time;L1C;L2C;sTec;Azimuth;Elevation;Lat;Lon;vTec;sTec Trend;sTec-Trend;vTec Trend;vTec-Trend;
2022-06-17 05:49:00;108623647.927;84485080.767;-49.85499030183833;212.02360199574335;48.16724405089247;40.22942289477495;76.71090602810017;-30.2342343160014;-49.96294077201245;0.10795047017412429;-30.39064702363276;0.1564127076313575;
2022-06-17 05:49:30;108709068.556;84551518.993;-49.758881918900336;211.8451998244629;47.89861522146965;40.2047525484948;76.70417173441575;-30.040077848691283;-49.81824859139687;0.059366672496537376;-30.167277680302508;0.12719983161122528;
2022-06-17 05:50:00;108795105.708;84618436.701;-49.5786461317618;211.66928247682722;47.62974269966658;40.179915934106425;76.69736441812533;-29.795725431326044;-49.6716463981539;0.09300026639209591;-29.943450974544657;0.14772554321861264;
2022-06-17 05:50:30;108881755.322;84685830.808;-49.49139321542483;211.49579930963944;47.36064005908905;40.15491042776583;76.69048372268784;-29.607832788871427;-49.5268066264283;0.03541341100346784;-29.72121752295459;0.11338473408316219;
2022-06-17 05:51:00;108969013.678;84753698.362;-49.359602340507294;211.3247007114433;47.09132057875317;40.12973336312359;76.68352928350873;-29.393752403090453;-49.38128098679023;0.021678646282936143;-29.499218934930934;0.10546653184048083;
2022-06-17 05:51:30;109056878.737;84822037.745;-49.108001533141156;211.15593808133787;46.821797250581405;40.104382030458545;76.67650072786768;-29.10924226235288;-49.23206554764062;0.12406401449946713;-29.27571569712561;0.1664734347727297;
2022-06-17 05:52:00;109145345.323;84890845.064;-49.04783608641552;210.9894638080386;46.55208278668757;40.07885367579298;76.6693976748457;-28.938938211608022;-49.07947285777521;0.03163677135968612;-29.05088707544811;0.1119488638400874;
2022-06-17 05:52:30;109234409.932;84960117.467;-48.88218582914818;210.82523124919993;46.28218962645678;40.053145499988744;76.6622197352516;-28.70690150783996;-48.92799144983032;0.04580562068214533;-28.82758812565477;0.12068661781481183;
2022-06-17 05:53:00;109324069.568;85029852.672;-48.724088853586295;210.66319471101227;46.01212994342547;40.02725465782415;76.65496651154778;-28.480084099899457;-48.77236878515151;0.0482799315652116;-28.60260290293288;0.12251880303342233;
2022-06-17 05:53:30;109414319.549;85100047.047;-48.595944379270826;210.5033094280849;45.741915651967304;40.00117825705076;76.6476375977756;-28.271464326790035;-48.61901209168589;0.023067712415063113;-28.379698890446353;0.10823456365631756;
2022-06-17 05:54:00;109505157.178;85170698.471;-48.443056469707905;210.3455315436246;45.47155841379033;39.97491335743017;76.64023257948003;-28.049134496499864;-48.463467563903784;0.02041109419587883;-28.156212693478803;0.10707819697893939;
2022-06-17 05:54:30;109596578.125;85241803.585;-48.286001271077296;210.18981808991833;45.20106964425045;39.948456969749984;76.63275103363422;-27.825165301199053;-48.30441555603576;0.018414284958460314;-27.931489042056104;0.1063237408570501;
2022-06-17 05:55:00;109688578.931;85313359.709;-48.14900129389227;210.03612696912657;44.93046051848677;39.92180605481869;76.62519252856323;-27.613491810323048;-48.144816591099804;-0.004184702792464634;-27.707182749028807;0.09369093870575895;
2022-06-17 05:55:30;109781156.051;85385364.093;-48.04898599358236;209.88441693439327;44.65974197738366;39.894957522438936;76.61755662386787;-27.42361928439017;-47.98538258264061;-0.06360341094175226;-27.483897377516442;0.060278093126271415;
2022-06-17 05:56:00;109874305.396;85457813.482;-47.81092890288763;209.73464757127684;44.388924733364675;39.86790823035891;76.609842870348;-27.155837966983892;-47.822979370897976;0.012050468010343707;-27.259840786358733;0.10400281937484124;
2022-06-17 05:56:30;109968023.532;85530705.309;-47.6783566227346;209.58677927950558;44.118019276023055;39.840654983200984;76.60205080992579;-26.948946226128488;-47.660411205096466;-0.01794541763813129;-27.036517527445085;0.08757130131659707;
2022-06-17 05:57:00;110062306.558;85604036.465;-47.475721616055104;209.44077325506012;43.847035877593925;39.813194531367635;76.59417997556884;-26.703339917543957;-47.49760862739591;0.021887011340808726;-26.81392645667548;0.11058653913152128;
2022-06-17 05:57:30;110157150.217;85677803.72;-47.39289650555569;209.29659147258485;43.57598459827235;39.785523569923804;76.58622989121321;-26.52587959912949;-47.32795604720925;-0.06494045834644169;-26.588440648363534;0.06256104923404493;
2022-06-17 05:58:00;110252550.724;85752004.047;-47.23505993795811;209.15419666812832;43.30487529138242;39.75763873745543;76.57820007168675;-26.3070768903381;-47.15633268044734;-0.0787272575107707;-26.362866685036312;0.05578979469821377;
2022-06-17 05:58:30;110348503.653;85826634.011;-47.01966258357419;209.01355232221377;43.033717608401304;39.72953661490347;76.57009002263229;-26.057231950865603;-46.981071610274164;-0.0385909733000247;-26.136107785848257;0.07887583498265371;
2022-06-17 05:59:00;110445005.999;85901691.307;-46.822236642893664;208.87462264323887;42.7625210038428;39.70121372437323;76.5618992404313;-25.818479107969566;-46.802138102329344;-0.020098540564319478;-25.9082967135565;0.08981760558693352;
2022-06-17 05:59:30;110542054.05;85977173.041;-46.626633956916955;208.73737255120332;42.49129474000471;39.67266652791808;76.55362721212789;-25.581817274289236;-46.62405541756484;-0.002578539352114717;-25.6820987530269;0.10028147873766358;
2022-06-17 06:00:00;110639643.067;86053075.514;-46.402120546625106;208.60176766176303;42.22004789158407;39.643891426297515;76.5452734153532;-25.33046136764872;-46.440242694918105;0.03812214829299876;-25.4536504900586;0.12318912240987956;
2022-06-17 06:00:30;110737769.687;86129396.165;-46.2768410676762;208.46777427060917;41.94878935016411;39.614884757708595;76.53683731825045;-25.134257156074415;-46.254007730891665;-0.022833336784536584;-25.22495056330945;0.09069340723503316;
2022-06-17 06:01:00;110836429.298;86206131.347;-46.1104094777104;208.33535933816842;41.67752782857709;39.5856427964908;76.52831837940077;-24.916529633284117;-46.064569150473766;-0.04584032723663256;-24.995606542393197;0.07907690910908016;
2022-06-17 06:01:30;110935618.37;86283278.31;-45.89240749965569;208.20449047462293;41.40627186514657;39.55616175180311;76.51971604774984;-24.67202577008421;-45.86967835023589;-0.022729149419802752;-24.764438235759076;0.09241246567486527;
2022-06-17 06:02:00;111035333.826;86360834.714;-45.74759379653239;208.07513592524577;41.13502982781303;39.526437766273546;76.51102976253547;-24.467906064831517;-45.672912264477276;-0.0746815320551164;-24.533326091375315;0.06542002654379786;
2022-06-17 06:02:30;111135571.233;86438797.056;-45.54678193575115;207.9472645560488;40.86380991814622;39.49646691461993;76.50225895321645;-24.234832899698848;-45.47517381006058;-0.07160812569056674;-24.302744353346416;0.06791145364756801;
2022-06-17 06:03:00;111236325.518;86517161.396;-45.30325526228759;207.82084583973904;40.59262017524772;39.46624520224189;76.49340303940266;-23.980307504648334;-45.27339828022995;-0.029856982057644643;-24.07114526235272;0.09083775770438507;
2022-06-17 06:03:30;111337593.21;86595925.088;-45.142814179824775;207.6958498419797;40.32146847954732;39.43576856378338;76.48446143078665;-23.77093240495111;-45.06639626221291;-0.07641791761186312;-23.837874947249784;0.06694254229867269;
2022-06-17 06:04:00;111439369.938;86675084.692;-44.97091297082163;207.5722472079515;40.05036255649626;39.4050328616651;76.47543352707689;-23.556502192913257;-44.86151262188112;-0.1094003489405111;-23.606913774922873;0.05041158200961604;
2022-06-17 06:04:30;111541652.118;86754637.37;-44.66930451330054;207.45000914920968;39.779309980160505;39.3740338845865;76.46631871793295;-23.275503599332634;-44.651914720906305;-0.01738979239423344;-23.374667772952172;0.09916417361953833;
2022-06-17 06:05:00;111644435.281;86834579.728;-44.42994512890468;207.32910743083283;39.50831817671736;39.34276734599659;76.45711638290258;-23.028506531509635;-44.43873988563225;0.008794756727574793;-23.141907156332245;0.11340062482261004;
2022-06-17 06:05:30;111747715.502;86914908.705;-44.2335611102295;207.20951435885846;39.23739442785811;39.31122888253346;76.44782589136125;-22.805065813229564;-44.22217912058588;-0.011381989643624024;-22.90841935520694;0.103353541977377;
2022-06-17 06:06:00;111851488.831;86995621.191;-43.991597102162864;207.091202768;38.96654587410003;39.279414052431356;76.43844660245394;-22.559420234337768;-43.9999056793972;0.008308577234338088;-22.67333024411085;0.11391000977308252;
2022-06-17 06:06:30;111955750.598;87076713.58;-43.76552099020558;206.97414600964188;38.69577951800987;39.2473183338955;76.42897786503993;-22.32330344646498;-43.774845353141735;0.00932436293615524;-22.438214955139482;0.11491150867450273;
2022-06-17 06:07:00;112060497.989;87158183.674;-43.53345440701383;206.85831794010628;38.42510222734249;39.21493712344367;76.41941901764032;-22.085490322559014;-43.54914256997279;0.01568816295895914;-22.20405083708869;0.1185605145296762;
2022-06-17 06:07:30;112165726.049;87240027.619;-43.295136908354806;206.74369290918736;38.15452073809629;39.182265734214155;76.40976938838898;-21.845903705365405;-43.321243269803986;0.026106361449180326;-21.970116546667565;0.12421284130216037;
2022-06-17 06:08:00;112271430.354;87322241.97;-43.040931441049366;206.6302457489478;37.88404165748877;39.149299394239755;76.40002829498688;-21.59976347241185;-43.09040081440186;0.04946937335249402;-21.736161700735305;0.13639822832345416;
2022-06-17 06:08:30;112377607.015;87404823.693;-42.74922037213466;206.5179517627728;37.61367146685432;39.11603324468709;76.39019504466035;-21.336415127766394;-42.855529966269174;0.10630959413451535;-21.501435332115594;0.16502020434920084;
2022-06-17 06:09:00;112484252.127;87487769.802;-42.5400738969495;206.4067867146764;37.34341652446663;39.08246233806096;76.38026893412335;-21.115770164987154;-42.61486830509748;0.07479440814798011;-21.265268428829476;0.14949826384232168;
2022-06-17 06:09:30;112591360.891;87571076.539;-42.35384763857649;206.2967268188549;37.073283068288355;39.04858163637319;76.37024924954429;-20.907713160332065;-42.37131557874799;0.017467940171499663;-21.02915914386474;0.12144598353267355;
2022-06-17 06:10:00;112698929.39;87654740.817;-42.09573539897322;206.18774872948265;36.80327721864974;39.01438600927554;76.36013526651755;-20.665519080512073;-42.12131221707926;0.025576818106038957;-20.791314922550217;0.1257958420381442;
2022-06-17 06:10:30;112806953.827;87738759.714;-41.83892545307107;206.07982953074546;36.533404980859075;38.97987023215623;76.34992625004028;-20.425509831302175;-41.86650777881426;0.02758232574318953;-20.552670206595106;0.1271603752929309;
2022-06-17 06:11:00;112915429.556;87823129.651;-41.664419692934175;205.97294672710586;36.263672247746456;38.94502898419985;76.33962145449463;-20.227002797176368;-41.61082646931883;-0.05359322361534424;-20.315128147117132;0.08812534994076415;
2022-06-17 06:11:30;113024352.934;87907847.717;-41.39041959349005;205.86707823379624;35.9940848021433;38.909856846409866;76.32922012363595;-19.981566167007355;-41.348564296343014;-0.04185529714703762;-20.07593231347976;0.0943661464724066;
2022-06-17 06:12:00;113133718.809;87992909.932;-41.08047655783357;205.7622023675341;35.72464831929937;38.8743482995938;76.31872149058736;-19.720521418946294;-41.080763083967135;0.0002865261335642799;-19.83561379444126;0.11509237549496731;
2022-06-17 06:12:30;113243523.918;88078313.827;-40.89607355416437;205.65829783745556;35.45536836923945;38.83849772231057;76.30812477784117;-19.52124556537049;-40.81281428169019;-0.08325927247418008;-19.596928397327375;0.07568283195688608;
2022-06-17 06:13:00;113353763.053;88164055.236;-40.56685670229779;205.55534373626134;35.18625041906116;38.80229938877958;76.29742919726756;-19.254403557455383;-40.541080180056156;-0.02577652224163529;-19.35812079606471;0.10371723860932747;
